,pokedex_number,name,japanese_name,hp,attack,defense,sp_attack,sp_defense,speed,weight_kg,height_m,percentage_male,experience_growth,capture_rate,classfication,base_egg_steps,base_happiness,base_total,abilities,against_bug,against_dark,against_dragon,against_electric,against_fairy,against_fight,against_fire,against_flying,against_ghost,against_grass,against_ground,against_ice,against_normal,against_poison,against_psychic,against_rock,against_steel,against_water,generation,is_legendary,bug,dark,dragon,electric,fairy,fighting,fire,flying,ghost,grass,ground,ice,normal,poison,psychic,rock,steel,water
182,183,Marill,Marilマリル,70,20,50,20,50,40,8.5,0.4,50.0,800000,190,Aquamouse Pokémon,2560,70,250,"['Thick Fat', 'Huge Power', 'Sap Sipper']",0.5,0.5,0.0,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,0.5,1.0,2.0,1.0,1.0,1.0,0.5,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
183,184,Azumarill,Marilliマリルリ,100,50,80,60,80,50,28.5,0.8,50.0,800000,75,Aquarabbit Pokémon,2560,70,420,"['Thick Fat', 'Huge Power', 'Sap Sipper']",0.5,0.5,0.0,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,0.5,1.0,2.0,1.0,1.0,1.0,0.5,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
184,185,Sudowoodo,Usokkieウソッキー,70,100,115,30,65,30,38.0,1.2,50.0,1000000,65,Imitation Pokémon,5120,70,410,"['Sturdy', 'Rock Head', 'Rattled']",1.0,1.0,1.0,1.0,1.0,2.0,0.5,0.5,1.0,2.0,2.0,1.0,0.5,0.5,1.0,1.0,2.0,2.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
185,186,Politoed,Nyorotonoニョロトノ,90,75,75,90,100,70,33.9,1.1,50.0,1059860,45,Frog Pokémon,5120,70,500,"['Water Absorb', 'Damp', 'Drizzle']",1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
186,187,Hoppip,Haneccoハネッコ,35,35,40,35,55,50,0.5,0.4,50.0,1059860,255,Cottonweed Pokémon,5120,70,250,"['Chlorophyll', 'Leaf Guard', 'Infiltrator']",1.0,1.0,1.0,1.0,1.0,0.5,2.0,2.0,1.0,0.25,0.0,4.0,1.0,2.0,1.0,2.0,1.0,0.5,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
187,188,Skiploom,Popoccoポポッコ,55,45,50,45,65,80,1.0,0.6,50.0,1059860,120,Cottonweed Pokémon,5120,70,340,"['Chlorophyll', 'Leaf Guard', 'Infiltrator']",1.0,1.0,1.0,1.0,1.0,0.5,2.0,2.0,1.0,0.25,0.0,4.0,1.0,2.0,1.0,2.0,1.0,0.5,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
188,189,Jumpluff,Wataccoワタッコ,75,55,70,55,95,110,3.0,0.8,50.0,1059860,45,Cottonweed Pokémon,5120,70,460,"['Chlorophyll', 'Leaf Guard', 'Infiltrator']",1.0,1.0,1.0,1.0,1.0,0.5,2.0,2.0,1.0,0.25,0.0,4.0,1.0,2.0,1.0,2.0,1.0,0.5,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
189,190,Aipom,Eipamエイパム,55,70,55,40,55,85,11.5,0.8,50.0,800000,45,Long Tail Pokémon,5120,70,360,"['Run Away', 'Pickup', 'Skill Link']",1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
190,191,Sunkern,Himanutsヒマナッツ,30,30,30,30,30,30,1.8,0.3,50.0,1059860,235,Seed Pokémon,5120,70,180,"['Chlorophyll', 'Solar Power', 'Early Bird']",2.0,1.0,1.0,0.5,1.0,1.0,2.0,2.0,1.0,0.5,0.5,2.0,1.0,2.0,1.0,1.0,1.0,0.5,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
191,192,Sunflora,Kimawariキマワリ,75,75,55,105,85,30,8.5,0.8,50.0,1059860,120,Sun Pokémon,5120,70,425,"['Chlorophyll', 'Solar Power', 'Early Bird']",2.0,1.0,1.0,0.5,1.0,1.0,2.0,2.0,1.0,0.5,0.5,2.0,1.0,2.0,1.0,1.0,1.0,0.5,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
192,193,Yanma,Yanyanmaヤンヤンマ,65,65,45,75,45,95,38.0,1.2,50.0,1000000,75,Clear Wing Pokémon,5120,70,390,"['Speed Boost', 'Compoundeyes', 'Frisk']",0.5,1.0,1.0,2.0,1.0,0.25,2.0,2.0,1.0,0.25,0.0,2.0,1.0,1.0,1.0,4.0,1.0,1.0,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
193,194,Wooper,Upahウパー,55,45,45,25,25,15,8.5,0.4,50.0,1000000,255,Water Fish Pokémon,5120,70,210,"['Damp', 'Water Absorb', 'Unaware']",1.0,1.0,1.0,0.0,1.0,1.0,0.5,1.0,1.0,4.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,1.0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
194,195,Quagsire,Nuohヌオー,95,85,85,65,65,35,75.0,1.4,50.0,1000000,90,Water Fish Pokémon,5120,70,430,"['Damp', 'Water Absorb', 'Unaware']",1.0,1.0,1.0,0.0,1.0,1.0,0.5,1.0,1.0,4.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,1.0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
195,196,Espeon,Eifieエーフィ,65,65,60,130,95,110,26.5,0.9,88.1,1000000,45,Sun Pokémon,8960,70,525,"['Synchronize', 'Magic Bounce']",2.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
196,197,Umbreon,Blackyブラッキー,95,65,110,60,130,65,27.0,1.0,88.1,1000000,45,Moonlight Pokémon,8960,35,525,"['Synchronize', 'Inner Focus']",2.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
197,198,Murkrow,Yamikarasuヤミカラス,60,85,42,85,42,91,2.1,0.5,50.0,1059860,30,Darkness Pokémon,5120,35,405,"['Insomnia', 'Super Luck', 'Prankster']",1.0,0.5,1.0,2.0,2.0,1.0,1.0,1.0,0.5,0.5,0.0,2.0,1.0,1.0,0.0,2.0,1.0,1.0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
198,199,Slowking,Yadokingヤドキング,95,75,80,100,110,30,79.5,2.0,50.0,1000000,70,Royal Pokémon,5120,70,490,"['Oblivious', 'Own Tempo', 'Regenerator']",2.0,2.0,1.0,2.0,1.0,0.5,0.5,1.0,2.0,2.0,1.0,0.5,1.0,1.0,0.5,1.0,0.5,0.5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
199,200,Misdreavus,Mumaムウマ,60,60,60,85,85,85,1.0,0.7,50.0,800000,45,Screech Pokémon,6400,35,435,['Levitate'],0.5,2.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,0.5,1.0,1.0,1.0,1.0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
200,201,Unown,Unknownアンノーン,48,72,48,72,48,48,5.0,0.5,0.0,1000000,225,Symbol Pokémon,10240,70,336,['Levitate'],2.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
201,202,Wobbuffet,Sonansソーナンス,190,33,58,33,58,33,28.5,1.3,50.0,1000000,45,Patient Pokémon,5120,70,405,"['Shadow Tag', 'Telepathy']",2.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
202,203,Girafarig,Kirinrikiキリンリキ,70,80,65,90,65,85,41.5,1.5,50.0,1000000,60,Long Neck Pokémon,5120,70,455,"['Inner Focus', 'Early Bird', 'Sap Sipper']",2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
203,204,Pineco,Kunugidamaクヌギダマ,50,65,90,35,35,15,7.2,0.6,50.0,1000000,190,Bagworm Pokémon,5120,70,290,"['Sturdy', 'Overcoat']",1.0,1.0,1.0,1.0,1.0,0.5,2.0,2.0,1.0,0.5,0.5,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
204,205,Forretress,Foretosフォレトス,75,90,140,60,60,40,125.8,1.2,50.0,1000000,75,Bagworm Pokémon,5120,70,465,"['Sturdy', 'Overcoat']",0.5,1.0,0.5,1.0,0.5,1.0,4.0,1.0,1.0,0.25,1.0,0.5,0.5,0.0,0.5,1.0,0.5,1.0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
205,206,Dunsparce,Nokocchiノコッチ,100,70,70,65,65,45,14.0,1.5,50.0,1000000,190,Land Snake Pokémon,5120,70,415,"['Serene Grace', 'Run Away', 'Rattled']",1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
206,207,Gligar,Gligerグライガー,65,75,105,35,65,85,64.8,1.1,50.0,1059860,60,Flyscorpion Pokémon,5120,70,430,"['Hyper Cutter', 'Sand Veil', 'Immunity']",0.5,1.0,1.0,0.0,1.0,0.5,1.0,1.0,1.0,1.0,0.0,4.0,1.0,0.5,1.0,1.0,1.0,2.0,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
207,208,Steelix,Haganeilハガネール,75,125,230,55,95,30,400.0,9.2,50.0,1000000,25,Iron Snake Pokémon,6400,70,610,"['Rock Head', 'Sturdy', 'Sheer Force']",0.5,1.0,0.5,0.0,0.5,2.0,2.0,0.5,1.0,1.0,2.0,1.0,0.5,0.0,0.5,0.25,0.5,2.0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
208,209,Snubbull,Buluブルー,60,80,50,40,40,30,7.8,0.6,24.6,800000,190,Fairy Pokémon,5120,70,300,"['Intimidate', 'Run Away', 'Rattled']",0.5,0.5,0.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
209,210,Granbull,Granbuluグランブル,90,120,75,60,60,45,48.7,1.4,24.6,800000,75,Fairy Pokémon,5120,70,450,"['Intimidate', 'Quick Feet', 'Rattled']",0.5,0.5,0.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
210,211,Qwilfish,Harysenハリーセン,65,95,85,55,55,85,3.9,0.5,50.0,1000000,45,Balloon Pokémon,5120,70,440,"['Poison Point', 'Swift Swim', 'Intimidate']",0.5,1.0,1.0,2.0,0.5,0.5,0.5,1.0,1.0,1.0,2.0,0.5,1.0,0.5,2.0,1.0,0.5,0.5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
211,212,Scizor,Hassamハッサム,70,150,140,65,100,75,118.0,1.8,50.0,1000000,25,Pincer Pokémon,6400,70,600,"['Swarm', 'Technician', 'Light Metal']",0.5,1.0,0.5,1.0,0.5,1.0,4.0,1.0,1.0,0.25,1.0,0.5,0.5,0.0,0.5,1.0,0.5,1.0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
212,213,Shuckle,Tsubotsuboツボツボ,20,10,230,10,230,5,20.5,0.6,50.0,1059860,190,Mold Pokémon,5120,70,505,"['Sturdy', 'Gluttony', 'Contrary']",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,1.0,2.0,2.0,2.0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
213,214,Heracross,Heracrosヘラクロス,80,185,115,40,105,75,54.0,1.5,50.0,1250000,45,Singlehorn Pokémon,6400,70,600,"['Swarm', 'Guts', 'Moxie']",0.5,0.5,1.0,1.0,2.0,0.5,2.0,4.0,1.0,0.5,0.5,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
214,215,Sneasel,Nyulaニューラ,55,95,55,35,75,115,28.0,0.9,50.0,1059860,60,Sharp Claw Pokémon,5120,35,430,"['Inner Focus', 'Keen Eye', 'Pickpocket']",2.0,0.5,1.0,1.0,2.0,4.0,2.0,1.0,0.5,1.0,1.0,0.5,1.0,1.0,0.0,2.0,2.0,1.0,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
215,216,Teddiursa,Himegumaヒメグマ,60,80,50,50,50,40,8.8,0.6,50.0,1000000,120,Little Bear Pokémon,5120,70,330,"['Pickup', 'Quick Feet', 'Honey Gather']",1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
216,217,Ursaring,Ringumaリングマ,90,130,75,75,75,55,125.8,1.8,50.0,1000000,60,Hibernator Pokémon,5120,70,500,"['Guts', 'Quick Feet', 'Unnerve']",1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
217,218,Slugma,Magmagマグマッグ,40,40,40,70,40,20,35.0,0.7,50.0,1000000,190,Lava Pokémon,5120,70,250,"['Magma Armor', 'Flame Body', 'Weak Armor']",0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
218,219,Magcargo,Magcargotマグカルゴ,60,50,120,90,80,30,55.0,0.8,50.0,1000000,75,Lava Pokémon,5120,70,430,"['Magma Armor', 'Flame Body', 'Weak Armor']",0.5,1.0,1.0,1.0,0.5,2.0,0.25,0.5,1.0,1.0,4.0,0.5,0.5,0.5,1.0,2.0,1.0,4.0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
219,220,Swinub,Urimooウリムー,50,50,40,30,30,50,6.5,0.4,50.0,1250000,225,Pig Pokémon,5120,70,250,"['Oblivious', 'Snow Cloak', 'Thick Fat']",1.0,1.0,1.0,0.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,2.0,2.0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
220,221,Piloswine,Inomooイノムー,100,100,80,60,60,50,55.8,1.1,50.0,1250000,75,Swine Pokémon,5120,70,450,"['Oblivious', 'Snow Cloak', 'Thick Fat']",1.0,1.0,1.0,0.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,2.0,2.0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
221,222,Corsola,Sunnygoサニーゴ,65,55,95,65,95,35,5.0,0.6,24.6,800000,60,Coral Pokémon,5120,70,410,"['Hustle', 'Natural Cure', 'Regenerator']",1.0,1.0,1.0,2.0,1.0,2.0,0.25,0.5,1.0,4.0,2.0,0.5,0.5,0.5,1.0,1.0,1.0,1.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
222,223,Remoraid,Teppouoテッポウオ,35,65,35,65,35,65,12.0,0.6,50.0,1000000,190,Jet Pokémon,5120,70,300,"['Hustle', 'Sniper', 'Moody']",1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
223,224,Octillery,Okutankオクタン,75,105,75,105,75,45,28.5,0.9,50.0,1000000,75,Jet Pokémon,5120,70,480,"['Suction Cups', 'Sniper', 'Moody']",1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
224,225,Delibird,Delibirdデリバード,45,55,45,65,45,75,16.0,0.9,50.0,800000,45,Delivery Pokémon,5120,70,330,"['Vital Spirit', 'Hustle', 'Insomnia']",0.5,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5,0.0,1.0,1.0,1.0,1.0,4.0,2.0,1.0,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
225,226,Mantine,Mantainマンタイン,85,40,70,80,140,70,220.0,2.1,50.0,1250000,25,Kite Pokémon,6400,70,485,"['Swift Swim', 'Water Absorb', 'Water Veil']",0.5,1.0,1.0,4.0,1.0,0.5,0.5,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,0.5,0.5,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
226,227,Skarmory,Airmdエアームド,65,80,140,40,70,70,50.5,1.7,50.0,1250000,25,Armor Bird Pokémon,6400,70,465,"['Keen Eye', 'Sturdy', 'Weak Armor']",0.25,1.0,0.5,2.0,0.5,1.0,2.0,0.5,1.0,0.25,0.0,1.0,0.5,0.0,0.5,1.0,0.5,1.0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
227,228,Houndour,Delvilデルビル,45,60,30,80,50,65,10.8,0.6,50.0,1250000,120,Dark Pokémon,5120,35,330,"['Early Bird', 'Flash Fire', 'Unnerve']",1.0,0.5,1.0,1.0,1.0,2.0,0.5,1.0,0.5,0.5,2.0,0.5,1.0,1.0,0.0,2.0,0.5,2.0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
228,229,Houndoom,Hellgarヘルガー,75,90,90,140,90,115,35.0,1.4,50.0,1250000,45,Dark Pokémon,5120,35,600,"['Early Bird', 'Flash Fire', 'Unnerve']",1.0,0.5,1.0,1.0,1.0,2.0,0.5,1.0,0.5,0.5,2.0,0.5,1.0,1.0,0.0,2.0,0.5,2.0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
229,230,Kingdra,Kingdraキングドラ,75,95,95,95,95,85,152.0,1.8,50.0,1000000,45,Dragon Pokémon,5120,70,540,"['Swift Swim', 'Sniper', 'Damp']",1.0,1.0,2.0,1.0,2.0,1.0,0.25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.25,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
230,231,Phanpy,Gomazouゴマゾウ,90,60,60,40,40,40,33.5,0.5,50.0,1000000,120,Long Nose Pokémon,5120,70,330,"['Pickup', 'Sand Veil']",1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.5,1.0,0.5,1.0,2.0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
231,232,Donphan,Donfanドンファン,90,120,120,60,60,50,120.0,1.1,50.0,1000000,60,Armor Pokémon,5120,70,500,"['Sturdy', 'Sand Veil']",1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.5,1.0,0.5,1.0,2.0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
232,233,Porygon2,Porygon2ポリゴン２,85,80,90,105,95,60,32.5,0.6,0.0,1000000,45,Virtual Pokémon,5120,70,515,"['Trace', 'Download', 'Analytic']",1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
233,234,Stantler,Odoshishiオドシシ,73,95,62,85,65,85,71.2,1.4,50.0,1250000,45,Big Horn Pokémon,5120,70,465,"['Intimidate', 'Frisk', 'Sap Sipper']",1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
234,235,Smeargle,Dobleドーブル,55,20,35,20,45,75,58.0,1.2,50.0,800000,45,Painter Pokémon,5120,70,250,"['Own Tempo', 'Technician', 'Moody']",1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
235,236,Tyrogue,Balkieバルキー,35,35,35,35,35,35,21.0,0.7,100.0,1000000,75,Scuffle Pokémon,6400,70,210,"['Guts', 'Steadfast', 'Vital Spirit']",0.5,0.5,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
236,237,Hitmontop,Kapoererカポエラー,50,95,95,35,110,70,48.0,1.4,100.0,1000000,45,Handstand Pokémon,6400,70,455,"['Intimidate', 'Technician', 'Steadfast']",0.5,0.5,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
237,238,Smoochum,Muchulムチュール,45,30,15,85,65,65,6.0,0.4,0.0,1000000,45,Kiss Pokémon,6400,70,305,"['Oblivious', 'Forewarn', 'Hydration']",2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,0.5,2.0,2.0,1.0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
238,239,Elekid,Elekidエレキッド,45,63,37,65,55,95,23.5,0.6,75.4,1000000,45,Electric Pokémon,6400,70,360,"['Static', 'Vital Spirit']",1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
239,240,Magby,Bubyブビィ,45,75,37,70,55,83,21.4,0.7,75.4,1000000,45,Live Coal Pokémon,6400,70,365,"['Flame Body', 'Vital Spirit']",0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
240,241,Miltank,Miltankミルタンク,95,80,105,40,70,100,75.5,1.2,0.0,1250000,45,Milk Cow Pokémon,5120,70,490,"['Thick Fat', 'Scrappy', 'Sap Sipper']",1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
241,242,Blissey,Happinasハピナス,255,10,10,75,135,55,46.8,1.5,0.0,800000,30,Happiness Pokémon,10240,140,540,"['Natural Cure', 'Serene Grace', 'Healer']",1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
242,243,Raikou,Raikouライコウ,90,85,75,115,100,115,178.0,1.9,0.0,1250000,3,Thunder Pokémon,20480,35,580,"['Pressure', 'Inner Focus']",1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
243,244,Entei,Enteiエンテイ,115,115,85,90,75,100,198.0,2.1,0.0,1250000,3,Volcano Pokémon,20480,35,580,"['Pressure', 'Inner Focus']",0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
244,245,Suicune,Suicuneスイクン,100,75,115,90,115,85,187.0,2.0,0.0,1250000,3,Aurora Pokémon,20480,35,580,"['Pressure', 'Inner Focus']",1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
245,246,Larvitar,Yogirasヨーギラス,50,64,50,45,50,41,72.0,0.6,50.0,1250000,45,Rock Skin Pokémon,10240,35,300,"['Guts', 'Sand Veil']",1.0,1.0,1.0,0.0,1.0,2.0,0.5,0.5,1.0,4.0,2.0,2.0,0.5,0.25,1.0,0.5,2.0,4.0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
246,247,Pupitar,Sanagirasサナギラス,70,84,70,65,70,51,152.0,1.2,50.0,1250000,45,Hard Shell Pokémon,10240,35,410,['Shed Skin'],1.0,1.0,1.0,0.0,1.0,2.0,0.5,0.5,1.0,4.0,2.0,2.0,0.5,0.25,1.0,0.5,2.0,4.0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
247,248,Tyranitar,Bangirasバンギラス,100,164,150,95,120,71,202.0,2.0,50.0,1250000,45,Armor Pokémon,10240,35,700,"['Sand Stream', 'Unnerve']",2.0,0.5,1.0,1.0,2.0,4.0,0.5,0.5,0.5,2.0,2.0,1.0,0.5,0.5,0.0,1.0,2.0,2.0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
248,249,Lugia,Lugiaルギア,106,90,130,90,154,110,216.0,5.2,0.0,1250000,3,Diving Pokémon,30720,0,680,"['Pressure', 'Multiscale']",1.0,2.0,1.0,2.0,1.0,0.25,1.0,1.0,2.0,0.5,0.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
